city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
busselton,48,AU,1551461125,45,-33.64,115.35,48.99,5.64
diffa,88,NE,1551461252,35,13.32,12.61,86.96,2.95
tasiilaq,44,GL,1551459000,85,65.61,-37.64,24.8,44.96
flinders,90,AU,1551461229,93,-34.58,150.85,71.01,3.51
malim,0,NP,1551461254,91,26.88,88.04,44.75,2.28
codrington,92,AU,1551461043,93,-28.95,153.24,69.8,3.62
yellowknife,20,CA,1551460974,66,62.45,-114.38,-19.0,6.93
sao filipe,0,CV,1551461254,75,14.9,-24.5,76.34,18.84
bowen,40,AU,1551461176,94,-20.01,148.25,73.99,10.29
kloulklubed,75,PW,1551459000,94,7.04,134.26,73.4,3.36
bluff,92,AU,1551461257,78,-23.58,149.07,70.45,12.35
puerto ayora,20,EC,1551459600,66,-0.74,-90.35,86.0,10.29
lebu,0,ET,1551461257,40,8.96,38.73,63.38,5.97
mar del plata,0,AR,1551461198,49,-46.43,-67.52,69.28,4.29
victoria,75,BN,1551459600,88,5.28,115.24,78.8,5.82
labuhan,88,ID,1551461261,91,-2.54,115.51,73.91,1.95
seoul,0,KR,1551459600,80,37.57,126.98,33.8,1.12
roma,75,IT,1551461227,66,41.89,12.48,57.2,5.82
palmer,1,US,1551461251,84,61.6,-149.11,21.0,3.62
bambous virieux,40,MU,1551461040,78,-20.34,57.76,82.4,6.93
tual,76,ID,1551461265,100,-5.67,132.75,80.8,12.68
ushuaia,90,AR,1551459600,71,-54.81,-68.31,50.0,5.82
rikitea,36,PF,1551461265,100,-23.12,-134.97,75.85,13.35
punta arenas,90,CL,1551459806,87,-53.16,-70.91,53.6,11.41
nouadhibou,0,MR,1551461266,36,20.93,-17.03,78.86,9.1
albany,20,US,1551461265,63,42.65,-73.75,36.0,3.36
aranos,0,NA,1551461267,14,-24.14,19.11,85.21,6.76
butaritari,68,KI,1551461110,100,3.07,172.79,81.47,15.26
kalmunai,48,LK,1551461267,96,7.42,81.82,71.84,3.51
kruisfontein,32,ZA,1551461267,85,-34.0,24.73,64.19,6.31
adand,80,HU,1551461268,60,46.86,18.16,52.49,11.79
jurm,32,AF,1551461268,77,36.86,70.83,14.56,1.61
souillac,75,FR,1551461229,62,45.6,-0.6,55.99,4.7
narsaq,75,GL,1551459000,32,60.91,-46.05,41.0,16.11
clyde river,5,CA,1551459600,65,70.47,-68.59,3.2,16.11
